firstname;gender
Flavia;w
Flavienne;w
Flavio;m
Flora;w
Florence;w
Florence;m
Florencio;m
Florens;m
Florenti;m
Florentia;w
Florentin;m
Florentina;w
Florentine;w
Florentyna;w
Florenz;m
Florenzia;w
Floretta;w
Florian;m
Floriana;w
Floriane;w
Florin;m
Florina;w
Florine;w
Floris;m
Floro;m
Florus;m
Floyd;m
Flurin;m
Flurina;w
Folke;m
Folko;m
Fortunat;m
Fortunata;w
Fortunato;m
Fortunatus;m
Fosca;w
Fosco;m
Foulques;m
Franca;w
Frances;w
Francesca;w
Francesco;m
Francine;w
Francis;m
Francisca;w
Francisco;m
Franciszek;m
Franco;m
François;m
Françoise;w
Frank;m
Frank Stefan;m
Franka;w
Frankie;m
Franklin;m
Franko;m
Frantisek;m
Franz;m
Franziska;w
Franziskus;m
Frauke;w
Fred;m
Freddie;m
Freddy;m
Frederic;m
Frédéric;m
Frederica;w
Frederick;m
Fredericka;w
Frederico;m
Frederik;m
Frederika;w
Frederike;w
Fredrick;m
Fredrik;m
Fredy;m
Freia;w
Freja;w
Frerik;m
Freya;w
Frida;w
Friderike;w
Fridolin;m
Fridtjof;m
Frieda;w
Friede;w
Friedegund;w
Friedemann;m
Frieder;m
Friederich;m
Friederika;w
Friederike;w
Friedrich;m
Frithjof;m
Fritiof;m
Fritjof;m
Fryderyk;m
Fulke;m
Fulvia;w
Fulvio;m
Furkan;m
Fynn;m
Gabi;w
Gábor;m
Gabriel;m
Gabriela;w
Gabriele;w
Gabriele;m
Gabriella;w
Gabrielle;w
Gabriello;m
Gaby;w
Gad;m
Gaëlle;w
Gaétan;m
Gaetano;m
Gaia;w
Gaia;w
Gail;w
Gaio;m
Gamze;w
Garet;m
Gareth;m
Garnet;w
Garnett;w
Garnier;m
Garrett;m
Garry;m
Gary;m
Gaspar;m
Gáspár;m
Gaspard;m
Gaspare;m
Gasparo;m
Gaston;m
Gastone;m
Gaudens;m
Gaudenz;m
Gaudenzio;m
Gauthier;m
Gautier;m
Gaven;m
Gavin;m
Gavril;m
Gayle;w
Gaynor;w
Gebbert;m
Gebhard;m
Gedeon;m
Gela;w
Gelsomina;w
Gelsomino;m
Geltrude;w
Geminiano;m
Gemma;w
Gene;m
Genesio;m
Geneviève;w
Gennaro;m
Genovefa;w
Genoveffa;w
Genoveva;w
Gentiana;w
Geoffrey;m
Geoffroi;m
Geoffroy;m
Georg;m
George;m
Georges;m
Georgette;w
Georgi;m
Georgia;w
Georgina;w
Georgine;w
Georgios;m
Georgius;m
Gerald;m
Gérald;m
Geralde;w
Geraldine;w
Géraldine;w
Geraldo;m
Gerard;m
Gérard;m
Gerardo;m
Gerd;m
Gerd-Uwe;m
Gerda;w
Geremia;m
Gerfried;m
Gerhard;m
Gerharda;w
Gerharde;w
Gerhart;m
Gerhild;w
Gerhilde;w
Gerit;w
Gerit;m
Gerlind;w
Gerlinde;w
Germain;m
